zone,grid,x0,y0
british_cassini,vW,100000,0
british_cassini,vR,100000,100000
british_cassini,qR,100000,600000
british_cassini,qM,100000,700000
british_cassini,qG,100000,800000
british_cassini,qB,100000,900000
british_cassini,lW,100000,1000000
british_cassini,vX,200000,0
british_cassini,vS,200000,100000
british_cassini,vN,200000,200000
british_cassini,vH,200000,300000
british_cassini,vC,200000,400000
british_cassini,qX,200000,500000
british_cassini,qS,200000,600000
british_cassini,qN,200000,700000
british_cassini,qH,200000,800000
british_cassini,qC,200000,900000
british_cassini,lX,200000,1000000
british_cassini,vY,300000,0
british_cassini,vT,300000,100000
british_cassini,vO,300000,200000
british_cassini,vJ,300000,300000
british_cassini,vD,300000,400000
british_cassini,qY,300000,500000
british_cassini,qT,300000,600000
british_cassini,qO,300000,700000
british_cassini,qJ,300000,800000
british_cassini,qD,300000,900000
british_cassini,lY,300000,1000000
british_cassini,vZ,400000,0
british_cassini,vU,400000,100000
british_cassini,vP,400000,200000
british_cassini,vK,400000,300000
british_cassini,vE,400000,400000
british_cassini,qZ,400000,500000
british_cassini,qU,400000,600000
british_cassini,qP,400000,700000
british_cassini,qK,400000,800000
british_cassini,qE,400000,900000
british_cassini,lZ,400000,1000000
british_cassini,wV,500000,0
british_cassini,wQ,500000,100000
british_cassini,wL,500000,200000
british_cassini,wF,500000,300000
british_cassini,wA,500000,400000
british_cassini,rV,500000,500000
british_cassini,rQ,500000,600000
british_cassini,rL,500000,700000
british_cassini,rF,500000,800000
british_cassini,rA,500000,900000
british_cassini,mV,500000,1000000
british_cassini,wR,600000,100000
british_cassini,wM,600000,200000
british_cassini,wG,600000,300000
british_cassini,wB,600000,400000
british_cassini,rW,600000,500000
british_cassini,rR,600000,600000
british_cassini,rM,600000,700000
british_cassini,rG,600000,800000
british_cassini,rB,600000,900000
british_cassini,mW,600000,1000000
british_cassini,wN,700000,200000
british_cassini,wH,700000,300000
british_cassini,wC,700000,400000
british_cassini,rX,700000,500000
british_cassini,rS,700000,600000
british_cassini,rN,700000,700000
british_cassini,rH,700000,800000
british_cassini,rC,700000,900000
british_cassini,mX,700000,1000000
french_lambert_1,vV,0,0
french_lambert_1,vQ,0,100000
french_lambert_1,vL,0,200000
french_lambert_1,vW,100000,0
french_lambert_1,vR,100000,100000
french_lambert_1,vM,100000,200000
french_lambert_1,vX,200000,0
french_lambert_1,vS,200000,100000
french_lambert_1,vN,200000,200000
french_lambert_1,vY,300000,0
french_lambert_1,vT,300000,100000
french_lambert_1,vO,300000,200000
french_lambert_1,vZ,400000,0
french_lambert_1,vU,400000,100000
french_lambert_1,vP,400000,200000
french_lambert_2,vV,0,0
french_lambert_2,vQ,0,100000
french_lambert_2,vL,0,200000
french_lambert_2,vF,0,300000
french_lambert_2,vW,100000,0
french_lambert_2,vR,100000,100000
french_lambert_2,vM,100000,200000
french_lambert_2,vG,100000,300000
french_lambert_2,vX,200000,0
french_lambert_2,vS,200000,100000
french_lambert_2,vN,200000,200000
french_lambert_2,vH,200000,300000
french_lambert_2,vY,300000,0
french_lambert_2,vT,300000,100000
french_lambert_2,vO,300000,200000
french_lambert_2,vJ,300000,300000
french_lambert_2,vZ,400000,0
french_lambert_2,vU,400000,100000
french_lambert_2,vP,400000,200000
french_lambert_2,vK,400000,300000
french_lambert_2,wV,500000,0
french_lambert_2,wQ,500000,100000
french_lambert_2,wL,500000,200000
french_lambert_2,wF,500000,300000
french_lambert_2,wW,600000,0
french_lambert_2,wR,600000,100000
french_lambert_2,wM,600000,200000
french_lambert_2,wG,600000,300000
french_lambert_2,wX,700000,0
french_lambert_2,wS,700000,100000
french_lambert_2,wN,700000,200000
french_lambert_2,wH,700000,300000
french_lambert_2,wY,800000,0
french_lambert_2,wT,800000,100000
french_lambert_2,wO,800000,200000
french_lambert_2,wJ,800000,300000
french_lambert_2,wZ,900000,0
french_lambert_2,wU,900000,100000
french_lambert_2,wP,900000,200000
french_lambert_2,wK,900000,300000
french_lambert_3,aL,0,200000
french_lambert_3,aF,0,300000
french_lambert_3,aM,100000,200000
french_lambert_3,aG,100000,300000
french_lambert_3,aX,200000,0
french_lambert_3,aS,200000,100000
french_lambert_3,aN,200000,200000
french_lambert_3,aH,200000,300000
french_lambert_3,aY,300000,0
french_lambert_3,aT,300000,100000
french_lambert_3,aO,300000,200000
french_lambert_3,aJ,300000,300000
french_lambert_3,aZ,400000,0
french_lambert_3,aU,400000,100000
french_lambert_3,aP,400000,200000
french_lambert_3,aK,400000,300000
french_lambert_3,bV,500000,0
french_lambert_3,bQ,500000,100000
french_lambert_3,bL,500000,200000
french_lambert_3,bF,500000,300000
french_lambert_3,bW,600000,0
french_lambert_3,bR,600000,100000
french_lambert_3,bM,600000,200000
french_lambert_3,bG,600000,300000
french_lambert_3,bX,700000,0
french_lambert_3,bS,700000,100000
french_lambert_3,bN,700000,200000
french_lambert_3,bH,700000,300000
french_lambert_3,bY,800000,0
french_lambert_3,bT,800000,100000
french_lambert_3,bO,800000,200000
french_lambert_3,bJ,800000,300000
french_lambert_3,bZ,900000,0
french_lambert_3,bU,900000,100000
french_lambert_3,bP,900000,200000
french_lambert_3,bK,900000,300000
irish_cassini,iV,0,0
irish_cassini,iQ,0,100000
irish_cassini,iL,0,200000
irish_cassini,iF,0,300000
irish_cassini,iA,0,400000
irish_cassini,iW,100000,0
irish_cassini,iR,100000,100000
irish_cassini,iM,100000,200000
irish_cassini,iG,100000,300000
irish_cassini,iB,100000,400000
irish_cassini,iX,200000,0
irish_cassini,iS,200000,100000
irish_cassini,iN,200000,200000
irish_cassini,iH,200000,300000
irish_cassini,iC,200000,400000
irish_cassini,iY,300000,0
irish_cassini,iT,300000,100000
irish_cassini,iO,300000,200000
irish_cassini,iJ,300000,300000
irish_cassini,iD,300000,400000
italy_north,vX,200000,200000
italy_north,vS,200000,300000
italy_north,vN,200000,400000
italy_north,qH,200000,500000
italy_north,qC,200000,600000
italy_north,qX,200000,700000
italy_north,vY,300000,200000
italy_north,vT,300000,300000
italy_north,vO,300000,400000
italy_north,qJ,300000,500000
italy_north,qD,300000,600000
italy_north,qY,300000,700000
italy_north,vZ,400000,200000
italy_north,vU,400000,300000
italy_north,vP,400000,400000
italy_north,qK,400000,500000
italy_north,qE,400000,600000
italy_north,qZ,400000,700000
italy_north,wV,500000,200000
italy_north,wQ,500000,300000
italy_north,wL,500000,400000
italy_north,rF,500000,500000
italy_north,rA,500000,600000
italy_north,rV,500000,700000
italy_north,wW,600000,200000
italy_north,wR,600000,300000
italy_north,wM,600000,400000
italy_north,rG,600000,500000
italy_north,rB,600000,600000
italy_north,rW,600000,700000
italy_north,wX,700000,200000
italy_north,wS,700000,300000
italy_north,wN,700000,400000
italy_north,rH,700000,500000
italy_north,rC,700000,600000
italy_north,rX,700000,700000
italy_north,wY,800000,200000
italy_north,wT,800000,300000
italy_north,wO,800000,400000
italy_north,rJ,800000,500000
italy_north,rD,800000,600000
italy_north,rY,800000,700000
italy_north,wZ,900000,200000
italy_north,wU,900000,300000
italy_north,wP,900000,400000
italy_north,rK,900000,500000
italy_north,rE,900000,600000
